"eta","max_depth","subsample","colsample_bytree","min_child_weight","gamma","best_iteration","best_mlogloss","error"
0.05,3,0.5,0.5,1,0,21,1.00812373313695,NA
0.075,3,0.5,0.5,1,0,24,0.897951684985625,NA
0.1,3,0.5,0.5,1,0,49,0.800530918583436,NA
0.05,4,0.5,0.5,1,0,29,0.92624390305604,NA
0.075,4,0.5,0.5,1,0,8,1.10143334221032,NA
0.1,4,0.5,0.5,1,0,39,0.775264856477326,NA
0.05,5,0.5,0.5,1,0,10,1.13544595788834,NA
0.075,5,0.5,0.5,1,0,18,0.935441431707918,NA
0.1,5,0.5,0.5,1,0,62,0.804903805088348,NA
0.05,3,0.6,0.5,1,0,53,0.839258913510832,NA
0.075,3,0.6,0.5,1,0,42,0.829760959081594,NA
0.1,3,0.6,0.5,1,0,26,0.843146720547124,NA
0.05,4,0.6,0.5,1,0,11,1.11759659444104,NA
0.075,4,0.6,0.5,1,0,30,0.849106420638842,NA
0.1,4,0.6,0.5,1,0,43,0.806884668484684,NA
0.05,5,0.6,0.5,1,0,7,1.18821401440387,NA
0.075,5,0.6,0.5,1,0,22,0.902072022608932,NA
0.1,5,0.6,0.5,1,0,25,0.838098528444906,NA
0.05,3,0.7,0.5,1,0,18,1.01213939513655,NA
0.075,3,0.7,0.5,1,0,40,0.808316486573767,NA
0.1,3,0.7,0.5,1,0,21,0.889456387748356,NA
0.05,4,0.7,0.5,1,0,46,0.828299496529971,NA
0.075,4,0.7,0.5,1,0,13,1.00557846820287,NA
0.1,4,0.7,0.5,1,0,43,0.786435903630267,NA
0.05,5,0.7,0.5,1,0,22,0.95955225937726,NA
0.075,5,0.7,0.5,1,0,35,0.835267799670498,NA
0.1,5,0.7,0.5,1,0,55,0.786718537186784,NA
0.05,3,0.5,0.6,1,0,46,0.846412909376779,NA
0.075,3,0.5,0.6,1,0,16,0.963969259177898,NA
0.1,3,0.5,0.6,1,0,38,0.811656920564822,NA
0.05,4,0.5,0.6,1,0,13,1.08746807093012,NA
0.075,4,0.5,0.6,1,0,13,0.999865041908908,NA
0.1,4,0.5,0.6,1,0,42,0.815380088549166,NA
0.05,5,0.5,0.6,1,0,49,0.84714743315815,NA
0.075,5,0.5,0.6,1,0,36,0.83390342202227,NA
0.1,5,0.5,0.6,1,0,61,0.829231016213485,NA
0.05,3,0.6,0.6,1,0,35,0.894769571894922,NA
0.075,3,0.6,0.6,1,0,46,0.79050189744438,NA
0.1,3,0.6,0.6,1,0,43,0.795699787991121,NA
0.05,4,0.6,0.6,1,0,72,0.800356523173172,NA
0.075,4,0.6,0.6,1,0,32,0.835679007081662,NA
0.1,4,0.6,0.6,1,0,21,0.852664409952161,NA
0.05,5,0.6,0.6,1,0,25,0.956067517643002,NA
0.075,5,0.6,0.6,1,0,15,0.975889112789415,NA
0.1,5,0.6,0.6,1,0,22,0.851739951107508,NA
0.05,3,0.7,0.6,1,0,37,0.880152931697543,NA
0.075,3,0.7,0.6,1,0,44,0.811383165544555,NA
0.1,3,0.7,0.6,1,0,13,0.954808521351862,NA
0.05,4,0.7,0.6,1,0,27,0.953254138990473,NA
0.075,4,0.7,0.6,1,0,29,0.841959974179834,NA
0.1,4,0.7,0.6,1,0,11,0.978962573552199,NA
0.05,5,0.7,0.6,1,0,63,0.80228749630526,NA
0.075,5,0.7,0.6,1,0,37,0.826635404551026,NA
0.1,5,0.7,0.6,1,0,38,0.85251594278412,NA
0.05,3,0.5,0.7,1,0,33,0.905669763950305,NA
0.075,3,0.5,0.7,1,0,45,0.846665547821542,NA
0.1,3,0.5,0.7,1,0,46,0.8078114240217,NA
0.05,4,0.5,0.7,1,0,32,0.892326249352283,NA
0.075,4,0.5,0.7,1,0,17,0.950447133958889,NA
0.1,4,0.5,0.7,1,0,15,0.927178316121384,NA
0.05,5,0.5,0.7,1,0,11,1.10696230983897,NA
0.075,5,0.5,0.7,1,0,25,0.870161736070436,NA
0.1,5,0.5,0.7,1,0,66,0.758098044340197,NA
0.05,3,0.6,0.7,1,0,49,0.805786828937707,NA
0.075,3,0.6,0.7,1,0,78,0.745353457104069,NA
0.1,3,0.6,0.7,1,0,32,0.801469789878965,NA
0.05,4,0.6,0.7,1,0,50,0.835770621297799,NA
0.075,4,0.6,0.7,1,0,48,0.812593010968592,NA
0.1,4,0.6,0.7,1,0,21,0.832160079595686,NA
0.05,5,0.6,0.7,1,0,4,1.2657458552094,NA
0.075,5,0.6,0.7,1,0,33,0.846789883036735,NA
0.1,5,0.6,0.7,1,0,21,0.879790969094483,NA
0.05,3,0.7,0.7,1,0,53,0.83698511497362,NA
0.075,3,0.7,0.7,1,0,34,0.839200867515528,NA
0.1,3,0.7,0.7,1,0,25,0.844156731177283,NA
0.05,4,0.7,0.7,1,0,19,0.99836317557864,NA
0.075,4,0.7,0.7,1,0,15,0.970590015107106,NA
0.1,4,0.7,0.7,1,0,20,0.858688426168486,NA
0.05,5,0.7,0.7,1,0,41,0.842946251136603,NA
0.075,5,0.7,0.7,1,0,42,0.816066530540124,NA
0.1,5,0.7,0.7,1,0,32,0.813309891478378,NA
